Attribute;Sentiment
number;0,23217018671564127
direction;0,23722627737226276
idea;0,2641745753158762
size;0,26934667895762476
pizza;0,2772714086729361
field;0,27752909910614487
film;0,2785766416605026
Nothing;0,2899425324284132
forte;0,3271303190167104
owner;0,3394905153566066
woman;0,348954562077829
measure;0,36082929847640377
details;0,375
wings;0,38636218879488166
not luck;0,4195877399412846
icecream;0,4547526439647708
stories;0,4730839416058394
company;0,5
tonight;0,5
wood;0,513462261839562
system;0,5259006232217858
life lesson;0,5947643925470695
news;0,6337632198238539
turnover;0,6337632198238539
waiter;0,7385135928278297
Ms, M;0,75
touch;0,837700742622862
daughters;1,059540391715162
health board;2,633763219823854
