Attribute;Sentiment
morning;-1,0155895691609977
judgment;-0,9678735943639075
attitude;-0,6953224000241343
order?They;-0,6291555617898724
advertising Pretty;-0,5927550467416339
tons;-0,5849116161616161
paint;-0,5706406664316871
cloth;-0,5053417188825985
DINING EXPERIENCE DINING EVER;-0,5
stench;-0,48583333333333334
wait;-0,46883111997678484
nMost;-0,4518022797695972
business;-0,39774503124531835
not bones;-0,36563006678653936
Yelp;-0,36000000000000004
Od course;-0,34848484848484845
coat;-0,3370359400503634
class;-0,3325000000000001
top;-0,3065007399522062
cry;-0,29
method;-0,2887839464545846
bean sprouts;-0,27272727272727276
tubes;-0,25761577130191515
walls;-0,25267085944129924
person;-0,2507120642389388
tissue;-0,25
bits;-0,22040074968633366
vegis;-0,20833333333333334
jurors;-0,2034519944341373
hair;-0,18415007560058683
restuants;-0,18181818181818182
clientele;-0,18000000000000002
filling;-0,16666666666666666
experiences;-0,16018651829476993
children;-0,14761777101183568
food reports;-0,1473085239983172
visit;-0,14702507378467308
mistake;-0,144475349976116
example;-0,13875234351197654
Brother;-0,13585276044443553
cream cheese;-0,12806151437836175
produce;-0,12636121477283738
months;-0,1258120298834284
no acknowledgement;-0,125
afternoon;-0,12281758021036664
exchange;-0,11949035812672176
floor;-0,11891187714951514
dessert pastries;-0,11066625996806279
colors;-0,10929271610882367
look;-0,09849008481219748
boy;-0,09645155031417887
steam not steam table;-0,09622946630154117
trips;-0,09520829876048768
shot;-0,09500555628247466
diet needs;-0,07831550642940978
butter;-0,06836849117357634
light bulbs;-0,06816389669944445
minutes;-0,06215447654550354
memories;-0,060592009684604466
food fix;-0,060000000000000005
gathering;-0,05199507544636596
customers;-0,05038133203015801
result;-0,049080167738418584
times;-0,04606465539838718
end;-0,04398408428236443
chow chow chow chow chow chow chow mien;-0,04107533946561546
contemplation;-0,036989795918367346
way;-0,035344343973165535
substitute names;-0,03516276242577268
expectations;-0,03414736033961072
George moments;-0,033317872603586894
order;-0,03290103695524183
whiff;-0,03231966169574316
foot traffic;-0,030000000000000006
Seating;-0,028872721601360184
hand;-0,026995181323468183
lunch specials;-0,026145618324512808
rating;-0,026125040630287255
standards;-0,023040798486282876
kind;-0,0187239644748806
sessions;-0,016423357664233577
!!;-0,015424003504161154
chemicals;-0,014567239671387355
food tastes;-0,013297042262056934
sense;-0,008156365191185047
try;-0,007802431345050572
impression;-0,005000000000000003
amount;-0,0027554840810239917
someone;-0,0021210491399519297
spots;-0,0017195565428348555
pork;-7,021517974668731E-4
crab legs!Whenever;0,0
Culture Center;0,0
attendant;0,0
dine;0,0
not associate;0,0
decades;0,0
kitchen dump;0,0
vitamin shopping;0,0
Jew;0,0
toothbreakers,Still;0,0
bout;0,0
cities;0,0029355820526646365
buffets list;0,003246061455501114
ice tea;0,0037245090309559873
emergency;0,003994021851164708
body;0,004664496028528892
post food post brick;0,01090638124915323
environment;0,012544227187658293
poop;0,01638544536271809
approach;0,018248175182481754
chicken;0,018423520888244952
art;0,020527519874236677
fast-food joint;0,020876574989838765
pork balls;0,021338124400799557
refrigerator;0,02182019811320095
husband;0,021897810218978103
praise;0,022639530264660614
locations;0,02283140986756417
dissatisfaction;0,025966446881320056
collection;0,030984995126101995
China Place;0,0336819919417203
letters;0,0350991506596278
quantities;0,03626213999266063
QT;0,03700823299096249
container;0,03851865882769885
blocks;0,03890856346917443
chop houses;0,04280045351473923
facility;0,04843054756882754
history;0,05128953771289538
cup;0,05234527427377893
fare;0,05289141240846975
pieces;0,057770979377017556
chatter;0,059223623092236236
Sanitation;0,06000000000000001
pick;0,06076176398205758
family;0,06083471074380168
service;0,06316335588407489
posts;0,06323915900131406
buffets;0,07197585028394306
shops;0,07308673661465087
fruit;0,07310840608280625
dum sum dum situation;0,07345098337549082
man;0,07526111398052558
chinese,i;0,07755474452554745
form;0,07799999999999999
bacon;0,08070895558797024
consumption;0,08260478935720185
weekday;0,08431570316909219
stuff;0,0931939016527014
restaurant building;0,09935586821580539
cleaning;0,10108302108185897
finish;0,10329447911112895
BUT;0,10329447911112895
improvement;0,10606060606060606
no comment;0,11173402061260718
Food;0,11351918486357641
run;0,11488639855687854
mama;0,11735704148927294
1s;0,11852954637874422
check;0,125
concerns;0,12644334343461433
college students;0,12647831800262813
country;0,12647831800262813
chef;0,12741157076130974
ownership;0,12741157076130974
quality;0,13117076359669186
call;0,13880987927920024
sustenance;0,13912664365802468
potatoes;0,14283044591036576
glass;0,14302112029384761
music;0,143319397554625
flavor;0,14749540774303532
workers;0,14944966297654483
people;0,15056751953486575
partner;0,15625
not tofu;0,16399426057007932
entrees;0,16918122591804924
spring rolls;0,17239199268844016
Pretty franchise;0,17436921786705897
areas;0,17586908584443822
occurrence;0,18185713587077793
pukingnweird ass pukingnweird rock pukingnweird ass pukingnweird no pukingnweird ass pukingnweird rock pukingnweird ass pukingnweird songs;0,18327354484970684
goodies;0,18407560453015
opportunity;0,18625000000000003
friends;0,1900603844566205
decision;0,19715538515131398
cost;0,20330410444443378
institution;0,20440706891679936
odor;0,20953911871398823
ass;0,20985401459854014
rice concoction;0,2098628471814934
joke;0,23175182481751824
