dbscan-minpts;dbscan-eps;kmedoids-shareOfClusters;generalOverlap;avgClusterOverlap
2;0.75;0.2;0.08088235294117647;0.06497770345596433
2;0.77;0.2;0.08823529411764706;0.07497770345596431
2;0.79;0.2;0.13970588235294118;0.11965719063545151
2;0.81;0.2;0.15441176470588236;0.12799052396878483
2;0.8300000000000001;0.2;0.22058823529411764;0.27469899665551833
2;0.8500000000000001;0.2;0.23529411764705882;0.28495540691192867
2;0.8700000000000001;0.2;0.27205882352941174;0.315788740245262
2;0.8900000000000001;0.2;0.3382352941176471;0.4014074693422519
2;0.9100000000000001;0.2;0.4411764705882353;0.5028372352285395
2;0.9300000000000002;0.2;0.47058823529411764;0.5419397993311037
2;0.9500000000000002;0.2;0.47058823529411764;0.5419397993311037
2;0.9700000000000002;0.2;0.47058823529411764;0.5419397993311037
2;0.9900000000000002;0.2;0.47058823529411764;0.5419397993311037
3;0.75;0.2;0.051470588235294115;0.03961538461538462
3;0.77;0.2;0.058823529411764705;0.04961538461538462
3;0.79;0.2;0.08823529411764706;0.07346153846153847
3;0.81;0.2;0.08823529411764706;0.07346153846153847
3;0.8300000000000001;0.2;0.125;0.10846153846153846
3;0.8500000000000001;0.2;0.18382352941176472;0.2573076923076923
3;0.8700000000000001;0.2;0.2647058823529412;0.305788740245262
3;0.8900000000000001;0.2;0.33088235294117646;0.3972408026755853
3;0.9100000000000001;0.2;0.4411764705882353;0.5028372352285395
3;0.9300000000000002;0.2;0.47058823529411764;0.5419397993311037
3;0.9500000000000002;0.2;0.47058823529411764;0.5419397993311037
3;0.9700000000000002;0.2;0.47058823529411764;0.5419397993311037
3;0.9900000000000002;0.2;0.47058823529411764;0.5419397993311037
4;0.75;0.2;0.03676470588235294;0.035769230769230775
4;0.77;0.2;0.058823529411764705;0.04961538461538462
4;0.79;0.2;0.08823529411764706;0.07346153846153847
4;0.81;0.2;0.08823529411764706;0.07346153846153847
4;0.8300000000000001;0.2;0.125;0.10846153846153846
4;0.8500000000000001;0.2;0.18382352941176472;0.2573076923076923
4;0.8700000000000001;0.2;0.2426470588235294;0.2929264214046823
4;0.8900000000000001;0.2;0.3161764705882353;0.38854515050167227
4;0.9100000000000001;0.2;0.4411764705882353;0.5028372352285395
4;0.9300000000000002;0.2;0.47058823529411764;0.5419397993311037
