BusinessId;Attribute;Sentiment
"8z2DkKf_FrPVNtt_5w4QsQ";man;1,0
"8z2DkKf_FrPVNtt_5w4QsQ";workers;2,5880418491484183
"8z2DkKf_FrPVNtt_5w4QsQ";portions;3,696901378202523
"9qxRn-qokwlmnRnv6-baLA";dissatisfaction;-1,5
"9qxRn-qokwlmnRnv6-baLA";mama;-0,10674931129476586
"9qxRn-qokwlmnRnv6-baLA";things;0,0
"9qxRn-qokwlmnRnv6-baLA";meals;0,0
"9qxRn-qokwlmnRnv6-baLA";meat;0,0
"9qxRn-qokwlmnRnv6-baLA";service;0,0
"9qxRn-qokwlmnRnv6-baLA";man;0,021897810218978103
"9qxRn-qokwlmnRnv6-baLA";quantities;0,12647831800262813
"9qxRn-qokwlmnRnv6-baLA";tissue;0,1590909090909091
"9qxRn-qokwlmnRnv6-baLA";expectations;0,20833333333333334
"9qxRn-qokwlmnRnv6-baLA";way;0,23722627737226276
"9qxRn-qokwlmnRnv6-baLA";people;0,23722627737226276
"9qxRn-qokwlmnRnv6-baLA";Food;0,559116017877382
"9qxRn-qokwlmnRnv6-baLA";cleaning;0,708941605839416
"4nWKKGZGFc4nWUbJTunMAw";produce;-1,7403926606050084
"4nWKKGZGFc4nWUbJTunMAw";method;-1,0259341645519582
"4nWKKGZGFc4nWUbJTunMAw";rating;-0,5706406664316871
"4nWKKGZGFc4nWUbJTunMAw";rag;-0,25856157062041385
"4nWKKGZGFc4nWUbJTunMAw";pepper batter;-0,14772727272727273
"4nWKKGZGFc4nWUbJTunMAw";Soup;-0,07842771982116242
"4nWKKGZGFc4nWUbJTunMAw";music;-0,06858826717246994
"4nWKKGZGFc4nWUbJTunMAw";things;-0,022727272727272728
"4nWKKGZGFc4nWUbJTunMAw";gathering;-0,008503401360544218
"4nWKKGZGFc4nWUbJTunMAw";consumption;-0,008503401360544218
"4nWKKGZGFc4nWUbJTunMAw";no comment;0,0
"4nWKKGZGFc4nWUbJTunMAw";areas;0,0
"4nWKKGZGFc4nWUbJTunMAw";refrigerator;0,0
"4nWKKGZGFc4nWUbJTunMAw";workers;0,0
"4nWKKGZGFc4nWUbJTunMAw";class;0,0
"4nWKKGZGFc4nWUbJTunMAw";weekday;0,0018115421742283385
"4nWKKGZGFc4nWUbJTunMAw";array;0,024298577740003647
"4nWKKGZGFc4nWUbJTunMAw";kind;0,0275482093663912
"4nWKKGZGFc4nWUbJTunMAw";quantities;0,037075298438934784
"4nWKKGZGFc4nWUbJTunMAw";stuff;0,041666666666666664
"4nWKKGZGFc4nWUbJTunMAw";buffets;0,07755474452554745
"4nWKKGZGFc4nWUbJTunMAw";peach blossom peach bun;0,125
"4nWKKGZGFc4nWUbJTunMAw";years;0,12647831800262813
"4nWKKGZGFc4nWUbJTunMAw";portions;0,12922311293553806
"4nWKKGZGFc4nWUbJTunMAw";China Place;0,13475052603434046
"4nWKKGZGFc4nWUbJTunMAw";water;0,1430192385855575
"4nWKKGZGFc4nWUbJTunMAw";move;0,14302112029384761
"4nWKKGZGFc4nWUbJTunMAw";person;0,21212121212121213
"4nWKKGZGFc4nWUbJTunMAw";locations;0,5279349413763672
"4nWKKGZGFc4nWUbJTunMAw";container;0,6242554259701367
"4nWKKGZGFc4nWUbJTunMAw";appearance;0,6337632198238539
"4nWKKGZGFc4nWUbJTunMAw";waiter;0,708941605839416
"4nWKKGZGFc4nWUbJTunMAw";interest;0,8822167171730716
"4nWKKGZGFc4nWUbJTunMAw";rice concoction;0,9904166666666666
"4nWKKGZGFc4nWUbJTunMAw";Mongolian Grill;1,1129105839416058
"4nWKKGZGFc4nWUbJTunMAw";Food;1,172665448545942
"4nWKKGZGFc4nWUbJTunMAw";idea;1,2314426669016463
"3tk6Syyz5i967Ifuz_4o3w";China Place;-2,1039133786917334
"3tk6Syyz5i967Ifuz_4o3w";quantities;-1,4688195286328098
"3tk6Syyz5i967Ifuz_4o3w";dining room;-1,2604166666666667
"3tk6Syyz5i967Ifuz_4o3w";move;-1,087809917355372
"3tk6Syyz5i967Ifuz_4o3w";meat;-0,7338558185052064
"3tk6Syyz5i967Ifuz_4o3w";kind;-0,6668181818181819
"3tk6Syyz5i967Ifuz_4o3w";way;-0,6136363636363636
"3tk6Syyz5i967Ifuz_4o3w";idea;-0,49502465896402503
"3tk6Syyz5i967Ifuz_4o3w";amount;-0,36404281262701543
"3tk6Syyz5i967Ifuz_4o3w";rag;-0,36000000000000004
"3tk6Syyz5i967Ifuz_4o3w";water;-0,34500000000000003
"3tk6Syyz5i967Ifuz_4o3w";attitude;-0,27212001752080595
"3tk6Syyz5i967Ifuz_4o3w";battle;-0,23295534245527233
"3tk6Syyz5i967Ifuz_4o3w";occurrence;-0,1903737262725329
"3tk6Syyz5i967Ifuz_4o3w";years;-0,16666666666666666
"3tk6Syyz5i967Ifuz_4o3w";locations;-0,14772727272727273
"3tk6Syyz5i967Ifuz_4o3w";night;-0,1193189788189087
"3tk6Syyz5i967Ifuz_4o3w";times;-0,040005435219650796
"3tk6Syyz5i967Ifuz_4o3w";no comment;-0,018611469148350306
"3tk6Syyz5i967Ifuz_4o3w";chair;0,0
"3tk6Syyz5i967Ifuz_4o3w";job;0,0
"3tk6Syyz5i967Ifuz_4o3w";word;0,0
"3tk6Syyz5i967Ifuz_4o3w";flavor;0,0
"3tk6Syyz5i967Ifuz_4o3w";man;0,0
"3tk6Syyz5i967Ifuz_4o3w";weekday;0,0
"3tk6Syyz5i967Ifuz_4o3w";people;0,0
"3tk6Syyz5i967Ifuz_4o3w";collection;0,14302112029384761
"3tk6Syyz5i967Ifuz_4o3w";container;0,16070160323041838
"3tk6Syyz5i967Ifuz_4o3w";spring rolls;0,16666666666666663
"3tk6Syyz5i967Ifuz_4o3w";rating;0,27264996907854067
