Attribute;Sentiment
grief guys;-0.48791005675473986
words;-0.36000000000000004
order;-0.3375
rag;-0.33689447925506566
type;-0.2993261041402364
hall;-0.27212001752080595
heavy;-0.27212001752080595
UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE C. UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE Robyn UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE C. UYE Rand UYE H. UYE Rand UYE Mike UYE Rand UYE H. UYE Rand UYE N;-0.27212001752080595
Food;-0.25270661273705414
matter;-0.220213555477229
person;-0.1503753926245485
years;-0.14532947758839737
stuff;-0.10996538262483871
store;-0.07379251700680273
lunch time;-0.0590975334403406
selections;-0.02177073465789497
day;-0.0010000000000000005
reason;0.0
crab crab crab legs;0.0
scores;0.021389820900841277
hope;0.04545454545454546
manager shawn;0.07793306273471381
meat;0.08623454481374815
container;0.10116800721127402
thing;0.28708272736575524
luck;0.7500000000000001
judgment;0.7500000000000001
