Attribute;Sentiment
not tofu;0.16399426057007932
Pacific;0.16666666666666666
spring rolls;0.17239199268844016
accident;0.1738138686131387
areas;0.17586908584443822
work;0.18036213434857104
goodies;0.18407560453015
opportunity;0.18625000000000003
waste;0.1887464931227966
friends;0.1900603844566205
employees;0.19130432426454322
Soup;0.19365395984766984
soup;0.20119689711919042
killer;0.20454545454545456
odor;0.20953911871398823
rice concoction;0.2098628471814934
people;0.21509009695162373
number;0.21538897258851464
institution;0.2183737397922238
cause;0.22826120932903973
complaints;0.23168737888944654
direction;0.23722627737226276
woman;0.239766688162515
store;0.23977538581281133
selection;0.24808141446877446
spicing;0.25
state;0.25
concept;0.25
battle;0.2512057853806549
roach;0.2718860653408242
facade;0.2735611738106774
pizza;0.2772714086729361
discount;0.29545454545454547
BS;0.2997448979591837
BBQ anyways.The;0.31688160991192693
deal;0.3204458503164563
staff;0.3209032265069974
forte;0.3271303190167104
opening;0.3391379469193703
owner;0.3394905153566066
measure;0.36082929847640377
time frame;0.36363636363636365
Sing High;0.3666666666666667
details;0.375
food em;0.375
adventure;0.375
place.It;0.375
wings;0.38636218879488166
hopes;0.404
salads;0.423615242562165
icecream;0.4547526439647708
lady;0.4581424359931431
value;0.47599198958848377
temperature;0.4897368190118872
life lesson;0.49908759124087587
company;0.5
tonight;0.5
king;0.5
upgrade;0.5003036276032333
system;0.5259006232217858
downtown vibe;0.5416666666666666
everyone;0.5499543795620437
help;0.5625
range;0.5625
rate;0.5952907008210179
not thing.This;0.6337632198238539
cheesecake;0.6337632198238539
waitresses;0.6427123467871214
ice cream ice desert;0.6713524128316349
excursion.We;0.708941605839416
vegetable Lo vegetable Mein;0.7310798619638911
Ms. M;0.75
thier;0.75
judgement;0.7500000000000001
waiter;0.8130256730817139
touch;0.837700742622862
trouble;0.8914680939355683
garbage truck garbage drivers;0.999110659685043
soda;1.028831957285345
daughters;1.059540391715162
ConsnnFood;1.1065340909090908
Sing High Sing premises;1.1214957679159443
Hunan;1.580949618171866
par;1.6875
Bok Choy;1.8714119203916748
esp;2.2593537414965987
